"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"CEQA Review","City of Barstow General Plan Update & Barstow International Gateway (BIG) Specific Plan","https://ceqanet.lci.ca.gov/2024020501","2030","2887","69172000"
"Approved","World Logistics Center Project EIR PEN18-0050","https://ceqanet.opr.ca.gov/2012021045/6","2027","2650","63479000"
"CEQA Review","Westside Annexation and North Lancaster Industrial Specific Plan","https://ceqanet.opr.ca.gov/2024081372/2","2030","1891","45307000"
"CEQA Review","2022 Legacy Highlands Specific Plan Project","https://ceqanet.opr.ca.gov/2022080120","2030","1386","33196000"
"CEQA Review","Stoneridge Commerce Center","https://ceqanet.opr.ca.gov/2020040325/5","2030","606","14518000"
"CEQA Review","San Jacinto Commerce Center","https://ceqanet.opr.ca.gov/2024040114","2030","504","12077000"
"Approved","Adelanto Industrial Park. (LDP 24-04)","https://ceqanet.opr.ca.gov/2008071129/5","2027","470","11265000"
"Approved","Speedway Commerce Center II Specific Plan EIR","https://ceqanet.opr.ca.gov/2021120259/3","2027","464","11116000"
"CEQA Review","Sunset Crossroads Project","https://ceqanet.opr.ca.gov/2021020011/3","2030","449","10768000"
"CEQA Review","Serrano Commerce Center","https://ceqanet.opr.ca.gov/2006081015/5","2030","392","9396000"
"Approved","Antelope Valley Commerce Center","https://ceqanet.opr.ca.gov/2022090009/2","2027","392","9381000"
"Approved","Globemaster Corridor Specific Plan (GCSP) Project","https://ceqanet.opr.ca.gov/2018091021/4","2027","390","9335000"
"CEQA Review","Beaumont Heights Business Centre Project","https://ceqanet.opr.ca.gov/2024050220","2030","386","9244000"
"Approved","Beaumont Pointe Specific Plan","https://ceqanet.opr.ca.gov/2020099007/3","2027","370","8875000"
"CEQA Review","New Perris Commerce Center Specific Plan Project","https://ceqanet.opr.ca.gov/2024071090","2030","368","8808000"
"Approved","West Valley Logistics Center (WVLC)","https://ceqanet.lci.ca.gov/2012071058/4","2027","292","7002000"
"CEQA Review","Harvest Landing Retail Center & Business Park Project","https://ceqanet.opr.ca.gov/2024080337/2","2030","288","6895000"
"CEQA Review","CV Commerce Center","https://ceqanet.opr.ca.gov/2024080800","2030","279","6677000"
"Approved","Menifee Valley Specific Plan","https://ceqanet.opr.ca.gov/2022030233","2027","258","6180000"
"Approved","Apple Valley 143","https://ceqanet.opr.ca.gov/2022070019/3","2027","241","5781000"
"Existing","056712103","storage building","2023","240","5741000"
"Approved","South Ontario Logistics Center Specific Plan (PSP19-001 and PGPA19-004)","https://ceqanet.opr.ca.gov/2021010318/7","2027","238","5698000"
"CEQA Review","Mesa Verde Specific Plan Area 2 Amendment 2","https://ceqanet.opr.ca.gov/2004071045/5","2030","226","5422000"
"Existing","046323158","distribution warehouse","2003","225","5401000"
"CEQA Review","Lake Creek Logistics Center","https://ceqanet.opr.ca.gov/2024020235","2030","223","5339000"
"Approved","The Ontario Plan 2050 Supplemental Environmental Impact Report","https://ceqanet.lci.ca.gov/2021070364/5","2027","218","5219000"
"Existing","580-766-02","warehouse","2017","202","4849000"
"Approved","Hesperia Commerce Center II","https://ceqanet.opr.ca.gov/2019110418/4","2027","192","4596000"
"CEQA Review","The Oasis at Indio","https://ceqanet.opr.ca.gov/2024050578/2","2030","184","4420000"
"Approved","Bloomington Business Park Specific Plan","https://ceqanet.opr.ca.gov/2020120545/9","2027","181","4340000"
"Approved","Inland Empire North Logistics Center Apple Valley Project","https://ceqanet.opr.ca.gov/2023090366/3","2027","180","4307000"
"Approved","South Perris Industrial","https://ceqanet.lci.ca.gov/2008071060/2","2027","176","4221000"
"Approved","Freeway Corridor Specific Plan Final Subsequent Environmental Impact Report","https://ceqanet.opr.ca.gov/2006041096/8","2027","173","4151000"
"Approved","Highway 74 Community Plan","https://ceqanet.opr.ca.gov/2019059042/3","2027","172","4122000"
"Approved","Cordova Complex and Quarry at Pawnee Warehouse Project","https://ceqanet.opr.ca.gov/2023090009/2","2027","169","4039000"
"CEQA Review","Renaissance Ranch Draft EIR","https://ceqanet.opr.ca.gov/2021030301/2","2030","161","3851000"
"Existing","013634172","","2007","154","3688000"
"CEQA Review","Rich-Haven Specific Plan, 2022 Amendment Project (File No. PSPA22-001)","https://ceqanet.opr.ca.gov/2022100425/3","2030","154","3678000"
"CEQA Review","Palmdale Logistics Center - TPM 84077 - CUP 23-003 - SPR 23-001","https://ceqanet.opr.ca.gov/2023090551/5","2027","153","3665000"
"Existing","049202124","storage warehouse","2016","151","3617000"
"Approved","Adelanto Industrial Center  LDP No 23-06","https://ceqanet.opr.ca.gov/2023120352/2","2027","139","3326000"
"CEQA Review","Irwindale Brew Yard Specific Plan","https://ceqanet.opr.ca.gov/2024020415","2030","137","3279000"
"Existing","407220029","warehouse/mega","2022","136","3253000"
"Approved","Rio Vista Specific Plan","https://ceqanet.opr.ca.gov/2018121005/3","2027","131","3137000"
"Existing","294170015","warehouse/mega","2021","128","3062000"
"CEQA Review","Newland Simpson Road Project","https://ceqanet.opr.ca.gov/2023120462/2","2030","126","3028000"
"Approved","Antelope Valley Logistics Center - West Project","https://ceqanet.opr.ca.gov/2024050012","2027","118","2835000"
"CEQA Review","Potrero Logistics Center","https://ceqanet.opr.ca.gov/2020059016/3","2030","115","2747000"
"Approved","Banning Commerce Center","https://ceqanet.opr.ca.gov/2022090102/2","2027","114","2740000"
"Existing","046323161","distribution warehouse","2018","106","2551000"
"Approved","DHS 109 Project","https://ceqanet.opr.ca.gov/2021050334","2027","106","2533000"
"Approved","General Plan Amendment GP-04-002, Zone Change 04-002 and Specific Plan Amendment SP-04-002 for Summerwind Ranch at Oak Valley","https://ceqanet.lci.ca.gov/2004061035/8","2027","104","2498000"
"Approved","I-15 Industrial Park Project","https://ceqanet.opr.ca.gov/2021060397/3","2027","101","2427000"
"Existing","125-140-19","warehouse","1986","100","2390000"
"Approved","Majestic Chino Heritage","https://ceqanet.opr.ca.gov/2019039133/3","2027","98","2357000"
"Existing","SBD_AmazonAirHub","aviation warehouse","2020","97","2326000"
"Approved","Ontario International Airport South Airport Cargo Center Project","https://ceqanet.opr.ca.gov/2021100226/2","2027","96","2304000"
"Existing","666370039","light industrial","2024","94","2248000"
"Existing","023812175","distribution warehouse","1996","93","2239000"
"CEQA Review","Perris Airport Logistics Center","https://ceqanet.opr.ca.gov/2023100540","2030","92","2214000"
"CEQA Review","First Hathaway Logistics Project","https://ceqanet.opr.ca.gov/2022040441/3","2030","92","2193000"
"Existing","312250043","warehouse/dry storage","2004","91","2178000"
"Approved","Euclid Mixed Use Specific Plan","https://ceqanet.opr.ca.gov/2023020281","2027","88","2100000"
"Existing","407220028","warehouse/mega","2022","85","2042000"
"Existing","3114011029","Warehousing, Distribution, Storage","1999","85","2037000"
"Existing","302050035","warehouse/dry storage","1980","83","1995000"
"CEQA Review","Oak Valley North","https://ceqanet.opr.ca.gov/2022120265/3","2030","83","1979000"
"Existing","488350052","warehouse/dry storage","2011","82","1975000"
"Approved","West Gate Specific Plan","https://ceqanet.lci.ca.gov/1995052002/5","2027","82","1957000"
"Approved","Majestic Thousand Palms","https://ceqanet.opr.ca.gov/2022110600/3","2027","82","1954000"
"CEQA Review","Lime Avenue Annexation & Quarry Commerce Center","https://ceqanet.opr.ca.gov/2024121001","2030","81","1931000"
"CEQA Review","United States Cold Storage Hesperia Project","https://ceqanet.opr.ca.gov/2020069036/3","2030","80","1925000"
"Existing","303040001","warehouse/dry storage","2004","80","1924000"
"Approved","The Park @ Live Oak Specific Plan","https://ceqanet.opr.ca.gov/2018041001/2","2027","80","1915000"
"Existing","303110001","warehouse/dry storage","1980","80","1911000"
"Approved","Rubidoux Commerce Park","https://ceqanet.opr.ca.gov/2020110449/4","2027","80","1911000"
"CEQA Review","Arrow Commerce Center","https://ceqanet.opr.ca.gov/2023110033","2030","80","1908000"
"Existing","302080033","warehouse/dry storage","2021","80","1907000"
"Existing","053013106","improvements ass'd associated apn","2024","79","1894000"
"Approved","The Development at Dale Evans and Lafayette","https://ceqanet.opr.ca.gov/2022120356/2","2027","79","1886000"
"Existing","424010011","light industrial","2022","78","1881000"
"Existing","294670004","light industrial","2020","78","1877000"
"Approved","Palmdale Logistics Park","https://ceqanet.opr.ca.gov/2022080668/2","2027","78","1874000"
"Approved","Site Plan Review No. 23-012","https://ceqanet.opr.ca.gov/2023120722","2027","77","1843000"
"Approved","Mojave Industrial Park Project","https://ceqanet.opr.ca.gov/2023110478/3","2027","76","1826000"
"Existing","8082003010","Warehousing, Distribution, Storage","1980","76","1822000"
"Approved","Menifee Commerce Center Project","https://ceqanet.opr.ca.gov/2021060247/4","2027","76","1817000"
"Existing","105439102","distribution warehouse","2021","76","1814000"
"CEQA Review","NOP for Electrical Vehicle Charging Station and Logistics Facility","https://ceqanet.opr.ca.gov/2024050651","2030","75","1795000"
"Existing","591-061-08","warehouse","1980","75","1791000"
"Existing","045821201","storage hangar","2005","75","1787000"
"Existing","111015101","distribution warehouse","1990","74","1770000"
"Existing","303030019","warehouse/dry storage","2000","74","1767000"
"Existing","156080031","ct-light industrial","1998","74","1762000"
"Approved","The District at South Bay Specific Plan Amendment","https://ceqanet.opr.ca.gov/2005051059/13","2027","73","1753000"
"Approved","Palomino Business Park Project","https://ceqanet.opr.ca.gov/2019039132/4","2027","72","1729000"
"Existing","316020046","light industrial","2014","72","1726000"
"Approved","Site Plan Review No. 21-15","https://ceqanet.opr.ca.gov/2022090652","2027","72","1723000"
"Existing","045904141","distribution warehouse","2022","71","1713000"
"Existing","316211028","warehouse/dry storage","2018","71","1707000"
"CEQA Review","Pacific Palmdale","https://ceqanet.opr.ca.gov/2025020362","2030","71","1702000"
"Existing","021126319","transit warehouse (truck terminal)","1992","70","1681000"
"Existing","102610102","","2015","70","1668000"
"Approved","The District at Jurupa Valley Specific Plan","https://ceqanet.opr.ca.gov/2022040044/2","2027","70","1667000"
"Existing","102610103","distribution warehouse","2015","68","1639000"
"Approved","1M Warehouse","https://ceqanet.opr.ca.gov/2023020285/2","2027","68","1639000"
"CEQA Review","Etiwanda Commerce Center","https://ceqanet.opr.ca.gov/2023110038","2030","68","1629000"
"Existing","7351003013","Warehousing, Distribution, Storage","1998","67","1613000"
"Approved","Green River Ranch Specific Plan Amendment and Industrial Business Park Project & Relocation of Proposed Constrained Linkage 1","https://ceqanet.opr.ca.gov/2022080640/3","2027","67","1609000"
"Existing","2826004043","Warehousing, Distribution, Storage","1980","67","1595000"
"Approved","South Campus Specific Plan and Village West Drive Extension Project","https://ceqanet.opr.ca.gov/2020059028/3","2027","66","1591000"
"Existing","156150072","warehouse/mega","2024","66","1580000"
"Existing","424010021","warehouse/mega","2021","66","1579000"
"Approved","Mojave 68 Project","https://ceqanet.opr.ca.gov/2023030145/2","2027","66","1577000"
"CEQA Review","Baker Street Warehouse Project","https://ceqanet.opr.ca.gov/2024070504","2030","66","1575000"
"CEQA Review","Speedway Commerce Center Specific Plan","https://ceqanet.opr.ca.gov/2022040481/2","2030","65","1569000"
"CEQA Review","Perris Valley Towne Center","https://ceqanet.opr.ca.gov/2024020911","2030","65","1554000"
"Existing","025918141","distribution warehouse","2020","64","1544000"
"Existing","648050012","light industrial","1980","64","1538000"
"Existing","532110017","warehouse/mega","2021","64","1533000"
"Approved","Sierra Business Center","https://ceqanet.opr.ca.gov/2022030544/2","2027","63","1519000"
"Existing","156150070","light industrial","2011","63","1505000"
"Existing","316100060","warehouse/mega","2019","63","1504000"
"Existing","156030029","light industrial","1980","63","1501000"
"Approved","Majestic Freeway Business Center Phase II","https://ceqanet.opr.ca.gov/2022080060/2","2027","62","1491000"
"CEQA Review","Hemet Logistics West Project","https://ceqanet.opr.ca.gov/2024051197","2030","62","1483000"
"Existing","107311124","distribution warehouse","2021","62","1480000"
"Existing","021121315","storage warehouse","1992","61","1459000"
"Existing","034815125","transit warehouse (truck terminal)","2007","61","1459000"
"CEQA Review","Mojave 51 Industrial Logistics Project","https://ceqanet.opr.ca.gov/2024070803","2030","61","1456000"
"Approved","Irwindale Gateway Specific Plan Draft EIR","https://ceqanet.opr.ca.gov/2023020290/2","2027","61","1456000"
"Existing","016757105","distribution warehouse","2007","60","1445000"
"Existing","303070016","warehouse/dry storage","2009","60","1438000"
"Existing","424050033","warehouse/mega","2018","60","1435000"
"Existing","303934116","distribution warehouse","2022","60","1431000"
"Existing","023808145","distribution warehouse","1980","59","1423000"
"Existing","294640034","ct-warehouse/cold storage","2019","59","1421000"
"Approved","Agua Mansa Logistics Center","https://ceqanet.lci.ca.gov/2013101080","2027","59","1416000"
"Existing","310170021","warehouse/mega","2023","58","1379000"
"Existing","312250046","warehouse/dry storage","2005","57","1375000"
"Existing","303090035","warehouse/dry storage","2018","57","1372000"
